time,open,high,low,close,tick_volume,spread,real_volume,utc,jst
1762141320,52197.89,52215.39,52197.89,52212.89,33,1000,0,2025-11-03 01:42:00+00:00,2025-11-03 10:42:00+09:00
1762141380,52215.39,52232.89,52215.39,52225.39,23,1000,0,2025-11-03 01:43:00+00:00,2025-11-03 10:43:00+09:00
1762141440,52225.39,52227.89,52220.39,52225.39,17,1000,0,2025-11-03 01:44:00+00:00,2025-11-03 10:44:00+09:00
1762141500,52225.39,52227.89,52215.39,52220.39,25,1000,0,2025-11-03 01:45:00+00:00,2025-11-03 10:45:00+09:00
1762141560,52220.39,52230.39,52220.39,52222.89,32,1000,0,2025-11-03 01:46:00+00:00,2025-11-03 10:46:00+09:00
1762141620,52225.39,52232.89,52222.89,52230.39,13,1000,0,2025-11-03 01:47:00+00:00,2025-11-03 10:47:00+09:00
1762141680,52230.39,52232.89,52222.89,52232.89,16,1000,0,2025-11-03 01:48:00+00:00,2025-11-03 10:48:00+09:00
1762141740,52232.89,52237.89,52230.39,52237.89,19,1000,0,2025-11-03 01:49:00+00:00,2025-11-03 10:49:00+09:00
1762141800,52237.89,52242.89,52220.39,52220.39,24,1000,0,2025-11-03 01:50:00+00:00,2025-11-03 10:50:00+09:00
1762141860,52225.39,52240.39,52217.89,52237.89,25,1000,0,2025-11-03 01:51:00+00:00,2025-11-03 10:51:00+09:00
1762141920,52240.39,52240.39,52225.39,52225.39,20,1000,0,2025-11-03 01:52:00+00:00,2025-11-03 10:52:00+09:00
1762141980,52230.39,52235.39,52225.39,52230.39,12,1000,0,2025-11-03 01:53:00+00:00,2025-11-03 10:53:00+09:00
1762142040,52227.89,52232.89,52225.39,52225.39,21,1000,0,2025-11-03 01:54:00+00:00,2025-11-03 10:54:00+09:00
1762142100,52225.39,52227.89,52215.39,52215.39,14,1000,0,2025-11-03 01:55:00+00:00,2025-11-03 10:55:00+09:00
1762142160,52220.39,52225.39,52215.39,52215.39,18,1000,0,2025-11-03 01:56:00+00:00,2025-11-03 10:56:00+09:00
1762142220,52222.89,52225.39,52215.39,52220.39,15,1000,0,2025-11-03 01:57:00+00:00,2025-11-03 10:57:00+09:00
1762142280,52225.39,52230.39,52220.39,52225.39,16,1000,0,2025-11-03 01:58:00+00:00,2025-11-03 10:58:00+09:00
1762142340,52225.39,52227.89,52215.39,52220.39,22,1000,0,2025-11-03 01:59:00+00:00,2025-11-03 10:59:00+09:00
1762142400,52220.39,52225.39,52215.39,52215.39,33,1000,0,2025-11-03 02:00:00+00:00,2025-11-03 11:00:00+09:00
1762142460,52215.39,52217.89,52210.39,52210.39,14,1000,0,2025-11-03 02:01:00+00:00,2025-11-03 11:01:00+09:00
1762142520,52210.39,52212.89,52205.39,52207.89,9,1000,0,2025-11-03 02:02:00+00:00,2025-11-03 11:02:00+09:00
1762142580,52207.89,52207.89,52200.39,52200.39,15,1000,0,2025-11-03 02:03:00+00:00,2025-11-03 11:03:00+09:00
1762142640,52202.89,52215.39,52200.39,52202.89,16,1000,0,2025-11-03 02:04:00+00:00,2025-11-03 11:04:00+09:00
1762142700,52202.89,52210.39,52200.39,52200.39,20,1000,0,2025-11-03 02:05:00+00:00,2025-11-03 11:05:00+09:00
1762142760,52200.39,52202.89,52190.39,52190.39,13,1000,0,2025-11-03 02:06:00+00:00,2025-11-03 11:06:00+09:00
1762142820,52187.89,52187.89,52175.39,52180.39,13,1000,0,2025-11-03 02:07:00+00:00,2025-11-03 11:07:00+09:00
1762142880,52180.39,52185.39,52177.89,52180.39,16,1000,0,2025-11-03 02:08:00+00:00,2025-11-03 11:08:00+09:00
1762142940,52180.39,52180.39,52165.39,52167.89,10,1000,0,2025-11-03 02:09:00+00:00,2025-11-03 11:09:00+09:00
1762143000,52167.89,52167.89,52152.89,52152.89,27,1000,0,2025-11-03 02:10:00+00:00,2025-11-03 11:10:00+09:00
1762143060,52152.89,52167.89,52147.89,52160.39,29,1000,0,2025-11-03 02:11:00+00:00,2025-11-03 11:11:00+09:00
1762143120,52160.39,52175.39,52160.39,52175.39,26,1000,0,2025-11-03 02:12:00+00:00,2025-11-03 11:12:00+09:00
1762143180,52175.39,52185.39,52175.39,52182.89,31,1000,0,2025-11-03 02:13:00+00:00,2025-11-03 11:13:00+09:00
1762143240,52182.89,52195.39,52182.89,52195.39,17,1000,0,2025-11-03 02:14:00+00:00,2025-11-03 11:14:00+09:00
1762143300,52192.89,52195.39,52187.89,52195.39,14,1000,0,2025-11-03 02:15:00+00:00,2025-11-03 11:15:00+09:00
1762143360,52195.39,52195.39,52185.39,52190.39,9,1000,0,2025-11-03 02:16:00+00:00,2025-11-03 11:16:00+09:00
1762143420,52190.39,52212.89,52187.89,52212.89,23,1000,0,2025-11-03 02:17:00+00:00,2025-11-03 11:17:00+09:00
1762143480,52212.89,52215.39,52210.39,52215.39,19,1000,0,2025-11-03 02:18:00+00:00,2025-11-03 11:18:00+09:00
1762143540,52212.89,52222.89,52212.89,52220.39,28,1000,0,2025-11-03 02:19:00+00:00,2025-11-03 11:19:00+09:00
1762143600,52220.39,52225.39,52217.89,52222.89,26,1000,0,2025-11-03 02:20:00+00:00,2025-11-03 11:20:00+09:00
1762143660,52222.89,52245.39,52220.39,52245.39,23,1000,0,2025-11-03 02:21:00+00:00,2025-11-03 11:21:00+09:00
1762143720,52242.89,52252.89,52242.89,52250.39,20,1000,0,2025-11-03 02:22:00+00:00,2025-11-03 11:22:00+09:00
1762143780,52250.39,52252.89,52240.39,52242.89,12,1000,0,2025-11-03 02:23:00+00:00,2025-11-03 11:23:00+09:00
1762143840,52242.89,52245.39,52230.39,52230.39,7,1000,0,2025-11-03 02:24:00+00:00,2025-11-03 11:24:00+09:00
1762143900,52230.39,52235.39,52215.39,52220.39,26,1000,0,2025-11-03 02:25:00+00:00,2025-11-03 11:25:00+09:00
1762143960,52220.39,52222.89,52215.39,52220.39,13,1000,0,2025-11-03 02:26:00+00:00,2025-11-03 11:26:00+09:00
1762144020,52220.39,52220.39,52215.39,52215.39,12,1000,0,2025-11-03 02:27:00+00:00,2025-11-03 11:27:00+09:00
1762144080,52217.89,52220.39,52210.39,52215.39,22,1000,0,2025-11-03 02:28:00+00:00,2025-11-03 11:28:00+09:00
1762144140,52215.39,52215.39,52205.39,52205.39,16,1000,0,2025-11-03 02:29:00+00:00,2025-11-03 11:29:00+09:00
